мне девятнадцать лет .	i m .
я сильно ранена .	i m hurt bad .
я в индии .	i m in india .
я в париже .	i m in paris .
я в перте .	i m in perth .
я в пробке .	i m in a jam .
я невинен .	i m innocent .
я невинна .	i m innocent .
я невиновна .	i m innocent .
я замешан .	i m involved .
я замешана .	i m involved .
я просто застенчивый .	i m just shy .
я просто застенчивая .	i m just shy .
я как ты .	i m like you .
я грамотный .	i m literate .
я справляюсь .	i m managing .
я ошибаюсь .	i m mistaken .
я здесь новичок .	i m new here .
я здесь новенький .	i m new here .
я здесь человек новый .	i m new here .
я не ангел .	i m no angel .
я не тупица .	i m no dummy .
я не святой .	i m no saint .
я не святая .	i m no saint .
я не лысый .	i m not bald .
я не занят .	i m not busy .
я не занята .	i m not busy .
я не умер .	i m not dead .
я не глухая .	i m not deaf .
я не закончил .	i m not done .
я еще не закончила .	i m not done .
я не немой .	i m not dumb .
я не немая .	i m not dumb .
я не свободен .	i m not free .
меня здесь нет .	i m not here .
я не здесь .	i m not here .
я не дома .	i m not home .
я в порядке .	i m not hurt .
я не ранен .	i m not hurt .
я цел .	i m not hurt .
я не пострадал .	i m not hurt .
я не пострадала .	i m not hurt .
я не ленивый .	i m not lazy .
я не ленив .	i m not lazy .
я не ленивая .	i m not lazy .
я не злая .	i m not mean .
я не злой .	i m not mean .
я не чистоплотный .	i m not neat .
я не чистоплотная .	i m not neat .
я не беден .	i m not poor .
я не богат .	i m not rich .
я не в безопасности .	i m not safe .
я не болен .	i m not sick .
я не больна .	i m not sick .
я не болею .	i m not sick .
я не уверен .	i m not sure .
я невысок .	i m not tall .
я не уродлив .	i m not ugly .
мне нехорошо .	i m not well .
я послушный .	i m obedient .
я послушная .	i m obedient .
я покончил с пивом .	i m off beer .
я не при исполнении .	i m off duty .
я не при исполнении .	i m off duty .
я оскорблён .	i m offended .
я валю отсюда .	i m out here .
я рисую .	i m painting .
я влиятельный .	i m powerful .
я влиятельная .	i m powerful .
я могущественный .	i m powerful .
я могущественная .	i m powerful .
я беременна .	i m pregnant .
я готов .	i m prepared .
я пунктуален .	i m punctual .
я пунктуальна .	i m punctual .
я пунктуальный .	i m punctual .
я пунктуальная .	i m punctual .
я рациональный .	i m rational .
я рациональная .	i m rational .
я заслуживаю доверия .	i m reliable .
я зажатый .	i m reserved .
я зажатая .	i m reserved .
я беспокойный .	i m restless .
я беспокойная .	i m restless .
я ухожу на пенсию .	i m retiring .
я выхожу в отставку .	i m retiring .
я ухожу в отставку .	i m retiring .
я безжалостный .	i m ruthless .
я безжалостная .	i m ruthless .
теперь я в безопасности .	i m safe now .
я стреляю .	i m shooting .
я делаю покупки .	i m shopping .
я сплю .	i m sleeping .
я так одинок .	i m so alone .
я так одинока .	i m so alone .
мне так скучно .	i m so bored .
я такой пьяный .	i m so drunk .
я такая пьяная .	i m so drunk .
я так счастлив .	i m so happy .
я так счастлива .	i m so happy .
я так горд .	i m so proud .
мне так жаль .	i m so sorry .
я так устал !	i m so tired !
я так устала !	i m so tired !
я так устал .	i m so tired .
я так устала .	i m so tired .
как я устал !	i m so tired .
как я устала !	i m so tired .
как же я устала !	i m so tired .
как же я устал !	i m so tired .
я общительный .	i m sociable .
я общительная .	i m sociable .
я общительный человек .	i m sociable .
я говорю .	i m speaking .
я стою .	i m standing .
я умираю от голода !	i m starving !
умираю с голоду !	i m starving !
умираю с голоду !	i m starving .
умираю есть хочу .	i m starving .
умираю с голоду .	i m starving .
я очень хочу есть .	i m starving .
я ещё не лёг .	i m still up .
я ещё не легла .	i m still up .
я сильнее .	i m stronger .
я упрямый .	i m stubborn .
я упрямая .	i m stubborn .
я занимаюсь .	i m studying .
я потею .	i m sweating .
я лучший .	i m the best .
я лучший .	i m the best .
тут я начальник .	i m the boss .
я здесь начальник .	i m the boss .
тут я начальница .	i m the boss .
я здесь начальница .	i m the boss .
я начальник .	i m the boss .
я начальница .	i m the boss .
я последний .	i m the last .
я думаю .	i m thinking .
я размышляю .	i m thinking .
мне тринадцать .	i m thirteen .
мне тринадцать лет .	i m thirteen .
я дотошный .	i m thorough .
я дотошная .	i m thorough .
я взволнован .	i m thrilled .
я взволнована .	i m thrilled .
я боюсь щекотки .	i m ticklish .
это я виноват .	i m to blame .
это я виновата .	i m to blame .
меня надо винить .	i m to blame .
я терпимый .	i m tolerant .
я терпимая .	i m tolerant .
я слишком занята .	i m too busy .
я слишком занят .	i m too busy .
я слушком занята .	i m too busy .
я сильно опоздал .	i m too late .
я сильно опоздала .	i m too late .
я слишком медленный .	i m too slow .
я слишком медленная .	i m too slow .
я слишком худой .	i m too thin .
я слишком худа .	i m too thin .
я слишком худая .	i m too thin .
я слишком слаб .	i m too weak .
я слишком слаба .	i m too weak .
я встревожен .	i m troubled .
я встревожена .	i m troubled .
я правдивый .	i m truthful .
я правдивая .	i m truthful .
я бесстрашная .	i m unafraid .
я беспристрастен .	i m unbiased .
я наверху .	i m upstairs .
я очень толстый .	i m very fat .
я очень толстая .	i m very fat .
мне очень жарко .	i m very hot .
мне очень грустно .	i m very sad .
я очень стеснительный .	i m very shy .
